city	brand	car_title	offer_price	mileage	newcar_price	car_age	result	
安庆	传祺GS4	200TG-DCT豪华版	7.98	5.2	14.8	34	0.539189189
安庆	传祺GA5	1.8L手动精英型	3.8	8.99	13.7	71	0.277372263
安庆	大众辉昂	480V6四驱至尊版	34	0.17	57.4	21	0.592334495
安庆	大众途昂	330TSI两驱豪华版	29.2	1.9	36.8	10	0.793478261
安庆	大众高尔夫	1.6自动时尚型	5.5	6.58	14.4	86	0.381944444
安庆	大众途安	1.4T手动风尚版5座	6.5	2.88	16.3	56	0.398773006
安庆	大众途观	1.8TSI自动四驱豪华型	15.3	4.8	30	58	0.51
安庆	大众帕萨特	1.8TSIDSG御尊版	9.7	18.44	26	83	0.373076923
安庆	大众途安	1.4T自动智雅版5座	6.95	12.86	19.4	74	0.358247423
安庆	大众朗逸	1.6L手动品雅版	4.6	8.08	13.3	97	0.345864662
安庆	大众高尔夫	230TSI自动舒适型	11.5	1.38	16.8	23	0.68452381
安庆	大众捷达	1.6L自动豪华型	6.88	2.45	12.9	31	0.533333333
安庆	大众途观	1.8TSI自动两驱豪华型	15	10.59	28.2	34	0.531914894
安庆	大众途安	1.4T自动智雅版5座	7.6	3.91	19.4	76	0.391752577
安庆	大众POLO	1.4L自动舒适版	6.18	5.47	10.7	32	0.577570093
安庆	大众迈腾	改款1.8TSI领先型	11	12.62	23.9	74	0.460251046
安庆	大众迈腾	1.8TSIDSG舒适型	6.18	10.33	24.6	95	0.251219512
安庆	大众桑塔纳	1.4L手动风尚版	4.5	3.1	9.2	41	0.489130435
安庆	大众朗逸	1.4TSIDSG舒适版	9	3.66	16.1	63	0.559006211
安庆	大众宝来	质惠版1.6L自动舒适型	9	0.77	13.6	35	0.661764706
安庆	大众尚酷	1.4TSI舒适版(进口)	10.28	7.37	29.5	80	0.348474576
安庆	大众帕萨特	1.8TSIDSG尊荣版	10.5	9.37	23.8	80	0.441176471
安庆	大众朗逸	改款经典1.6L手动舒适版	6.7	8.8	13.7	42	0.489051095
安庆	大众途观	1.8TSI自动两驱舒适版	16.6	1.69	25.8	34	0.643410853
安庆	大众甲壳虫	1.2TSI时尚型(进口)	13	4	21.7	43	0.599078341
安庆	大众桑塔纳志俊	1.8L手动舒适型	3.58	9.96	10.8	84	0.331481481
安庆	大众速腾	230TSI手动舒适型	9.5	4.47	15.9	34	0.597484277
安庆	大众途安	1.4T自动智臻版5座	7.5	10.5	21	65	0.357142857
安庆	大众高尔夫	1.4TSI舒适旅行版(进口)	12	7.1	26	60	0.461538462
安庆	大众帕萨特	1.8TSI自动尊荣版	11.2	4.82	23.4	71	0.478632479
安庆	大众速腾	改款1.4TSI自动豪华型	9.88	5.65	18.2	45	0.542857143
安庆	大众宝来	1.6L手动时尚型	4.5	7.62	11.7	81	0.384615385
安庆	东风风行景逸	LV1.5L手动豪华型	1.9	5.2	7.8	78	0.243589744
安庆	东风风行菱智	V31.5L5座特惠型	3.4	7.96	5.9	35	0.576271186
安庆	东南V3菱悦	1.5L手动旗舰版	2.2	6.08	8	78	0.275
安庆	东风小康K17	1.0L标准型BG10-01	1.1	4.2	3.4	54	0.323529412
安庆	东风小康K17	1.0L标准型AF10-06	0.64	2.87	3.1	91	0.206451613
安庆	东风小康东风风光360	1.5L手动豪华型7座国IV	3.5	4.24	7.3	41	0.479452055
安庆	东风风度MX5	1.4T手动时尚版	7.78	0.66	11.2	7	0.694642857
安庆	福特蒙迪欧	1.5LGTDi180时尚型	11	6.84	20.6	44	0.533980583
安庆	福特福克斯	三厢1.6L手动舒适型	6	4.3	13	53	0.461538462
安庆	福特蒙迪欧	2.0LGTDi200时尚型	11.5	7.75	22	56	0.522727273
安庆	福特蒙迪欧	2.0LGTDi200豪华型	14.58	4.43	24.2	33	0.602479339
安庆	福特蒙迪欧-致胜	2.3L时尚型	6.2	8.79	19.5	94	0.317948718
安庆	福特福克斯	两厢经典1.8L自动基本型	5	8.74	11.9	56	0.420168067
安庆	福特蒙迪欧	2.0LGTDi200时尚型	12.28	3.08	22	49	0.558181818
安庆	福特福克斯	三厢1.6L手动风尚型	4.82	12.16	14.4	57	0.334722222
安庆	福特翼虎	2.0LGTDi四驱运动型	15.08	2.48	28.5	35	0.529122807
安庆	福特福克斯	三厢经典1.8L手动时尚型	4.5	5.1	12.2	74	0.368852459
安庆	福特福克斯	两厢经典1.8L手动基本型	5.4	2.61	10.8	43	0.5
安庆	丰田普拉多	2.7L自动豪华版(进口)	38	3	53.1	38	0.715630885
安庆	丰田汉兰达	2.0T四驱豪华版7座	27	4.82	32	21	0.84375
安庆	江淮和悦	1.5L手动尊逸型	1.8	6.14	8.9	80	0.202247191
安庆	江淮瑞风S2	1.5L手动豪华型	4.35	2.71	6.8	31	0.639705882
安庆	江淮瑞风S3	1.6L手动豪华智能型	5.4	1.4	7.7	23	0.701298701
安庆	江淮和悦	1.5L手动豪华型	2.35	5.09	7.4	76	0.317567568
安庆	江淮同悦RS	RS1.3L手动豪华型	1	12.1	6.3	93	0.158730159
安庆	江淮瑞风S3	1.5L手动豪华型	3.88	2.9	7.6	41	0.510526316
安庆	江淮和悦	1.5L手动尊贵型	2.08	9.53	8.1	77	0.256790123
安庆	江淮同悦	1.3L手动舒适型	1.1	6.86	5.9	88	0.186440678
安庆	江淮瑞风S3	1.5L手动豪华智能型	4	7.46	8.1	36	0.49382716
安庆	江淮和悦	1.5L手动尊逸运动型	2.28	6.53	8.1	69	0.281481481
安庆	江淮瑞风S2	1.5L手动豪华型	3.98	4.33	6.8	34	0.585294118
安庆	江淮瑞风S2	1.5L手动豪华智能型双色版	4.88	6.3	7.5	26	0.650666667
安庆	Jeep指南者	200T自动家享版	13.98	3.73	19.5	14	0.716923077
安庆	Jeep牧马人	3.0LSahara四门舒享版(进口)	38	2.69	49.9	25	0.761523046
安庆	凯迪拉克ATS-L	28T技术型	21.48	0.6	32.4	4	0.662962963
安庆	克莱斯勒大捷龙	3.6L舒适版(进口)	30	3.25	48.5	28	0.618556701
安庆	铃木利亚纳A6	两厢1.4L手动畅想型	2.68	0.72	6.1	32	0.439344262
安庆	铃木锋驭	1.6LCVT两驱精英型	7.58	6.93	14.6	49	0.519178082
安庆	铃木雨燕	1.3L手动超值版	2.7	6.1	6.6	67	0.409090909
安庆	铃木锋驭	1.6LCVT两驱精英型	8.2	3.5	14.6	50	0.561643836
安庆	路虎揽胜运动版	5.0V8SCHSE(进口)	55	8.2	183.6	64	0.29956427
安庆	路虎揽胜运动版	3.0V6SCSE(进口)	77.6	2.55	100.7	18	0.77060576
安庆	路虎揽胜运动版	3.0V6SCHSE(进口)	81	3.86	113.8	31	0.711775044
安庆	陆风X7	2.0T全景尊享版	8.58	1.62	14.1	18	0.608510638
安庆	陆风X7	2.0T全景旗舰版	8.8	3.35	16	33	0.55
安庆	陆风X7	2.0T全景旗舰版	8.98	2	16	22	0.56125
安庆	力帆320	冠军版1.3L手动酷行型	0.67	3.25	4	70	0.1675
安庆	马自达阿特兹	2.0L蓝天时尚版	12.68	5.36	19.5	32	0.65025641
安庆	马自达昂克赛拉	三厢1.5L手动舒适型	7.28	2.12	12.5	39	0.5824
安庆	马自达CX-5	2.0L自动两驱都市型	14.3	1.4	20.7	20	0.690821256
安庆	马自达3星骋	三厢1.6L手动舒适型	4.18	9.2	12.2	71	0.342622951
安庆	马自达CX-4	2.0L自动两驱蓝天品位版	15	2.02	18.4	15	0.815217391
安庆	MG3	1.5LAMT精英版	4	3.64	9.7	58	0.412371134
安庆	MG锐腾	1.5TGI手动精英版	6.88	4.5	13.6	33	0.505882353
安庆	MG6	掀背1.8L自动驾值版	5.5	6.5	15.1	74	0.364238411
安庆	纳智捷纳5	1.8T自动智慧型	6.6	2.79	10.8	30	0.611111111
安庆	纳智捷优6SUV	1.8T魅力型	6.63	8.13	14.8	45	0.447972973
安庆	起亚霸锐	3.8L豪华版国V(进口)	20.8	4.32	45.2	51	0.460176991
安庆	起亚K2	三厢1.4LATGLS	6.58	0.76	9.6	10	0.685416667
安庆	起亚K2	三厢1.4LMTGL	5.5	3.49	7.9	45	0.696202532
安庆	奇瑞瑞虎3	1.6L手动智尚运动版	5.68	1.7	8.5	37	0.668235294
安庆	奇瑞艾瑞泽7e	1.6Le致尚版	6.88	1.77	19.5	20	0.352820513
